Title,CreationDate
"How to apply outer product for tensors without unnecessary increase of dimensions?","2017-02-07 16:05:27"
"how does theano.scan's updates work?","2015-10-06 18:17:53"
"Theano broadcasting different to numpy's","2014-10-26 14:53:45"
"how to fit a method belonging to an instance with pymc3?","2017-02-13 13:22:56"
"Keras: ""RuntimeError: Failed to import pydot."" after installing graphviz and pydot","2016-04-27 10:08:21"
"numpy array from csv file for lasagne","2015-07-28 17:19:15"
"How configure theano on Windows?","2015-01-18 15:44:05"
"Importing theano: AttributeError: 'module' object has no attribute 'find_graphviz'","2016-07-18 22:12:17"
"MAC OSX10.11.4 python3 import theano error","2016-03-25 03:41:06"
"Keras accuracy does not change","2016-05-13 15:01:24"
"Keras Convolution2D Input: Error when checking model input: expected convolution2d_input_1 to have shape","2016-09-07 17:38:57"
"How can I speed up deep learning on a non-NVIDIA setup?","2017-03-31 14:20:00"
"Pre-training ANN with RBM in pylearn2","2015-11-16 20:22:14"
"Theano - Keras - No Module named `pool`","2016-01-20 11:02:30"
"Theano CNN on CPU: AbstractConv2d Theano optimization failed","2016-05-01 09:15:23"
"Theano element wise maximum","2013-11-27 06:04:31"
"compilation failure when running theano - windows 8.1 64 bit with Anaconda python distribution","2015-05-01 21:27:34"
"merging recurrent layers with dense layer in Keras","2016-06-22 10:20:26"
"Theano error: NameError: global name 'CVM' is not defined","2016-06-22 13:47:09"
"ValueError «You are trying to use the old GPU back-end» when importing keras","2017-06-26 17:35:15"
"How to perform multi-label learning with LSTM using theano?","2015-03-17 14:45:29"
"Theano/Lasagne/Nolearn Neural Network Image Input","2015-04-17 18:47:42"
"keras predict is very slow","2016-06-25 08:56:32"
"Theano Import error","2015-06-29 04:26:22"
"PyMC3 & Theano - Theano code that works stop working after pymc3 import","2015-05-14 11:21:04"
"How can I get a 1D convolution in theano","2015-05-14 20:47:34"
"tensorflow theano.tensor.set_subtensor equivalent","2017-01-06 23:31:50"
"Error because of Theano and NumPy variable types","2014-04-07 14:06:03"
"IndexError: fail to coerce slice entry of type tensorvariable to integer","2016-08-21 10:24:59"
"Create a shared row in theano","2015-10-15 15:05:50"
"How to reuse Theano function with different shared variables without rebuilding graph?","2013-06-11 08:45:59"
"nvcc fatal : Cannot find compiler 'cl.exe' in PATH although Visual Studio 12.0 is added to PATH","2016-05-22 17:36:17"
"Theano: Where to put .theanorc file for Anaconda installation? (Windows)","2016-08-25 17:42:48"
"Windows missing Python.h","2015-11-02 08:54:29"
"NumPy precision when doing dot product","2015-12-29 02:09:12"
"What is data type for Python Keras deep learning package?","2015-05-21 20:08:14"
"getting ""pygpu was configured but could not be imported"" error while trying with OpenCL+Theano on AMD Radeon","2016-09-02 17:36:27"
"What exactly is a tensor in theano?","2014-04-26 17:30:52"
"Theano with Keras on Raspberry Pi","2016-10-29 08:08:03"
"Keras verbose training progress bar writing a new line on each batch issue","2017-01-03 11:17:47"
"Theano import error: No module named cPickle","2015-09-20 12:34:49"
"Why am I allowed pickle instancemethods that are Theano functions, but not normal instancemethods?","2014-08-18 14:13:09"
"Installing theano on Windows 8 with GPU enabled","2014-09-08 17:37:48"
"Loop over (or vectorize) variable length matrices in Theano","2015-12-29 13:03:31"
"Theano Dimshuffle equivalent in Google's TensorFlow?","2016-02-02 21:04:51"
"Keras: convert pretrained weights between theano and tensorflow","2017-02-12 21:24:12"
"How to train a reverse embedding, like vec2word?","2017-04-20 09:22:08"
"Keras not using multiple cores","2016-04-28 08:15:31"
"Does Theano do automatic unfolding for BPTT?","2014-06-26 13:17:00"
"Overlapping iteration over theano tensor","2015-07-30 20:13:13"
"nvcc fatal : Value 'sm_61' is not defined for option 'gpu-architecture' error with theano","2016-06-30 13:56:54"
"theano g++ not detected","2016-04-19 15:31:31"
"pure-python RNN and theano RNN computing different gradients -- code and results provided","2014-12-18 10:45:20"
"Is there hope for using Lasagne's Adam implementation for Probabilistic Matrix Factorization?","2016-09-09 15:32:04"
"Do we need to use flatten and reshape in Theano if we use a matrix of indexes?","2017-06-18 10:00:39"
"normalize a matrix row-wise in theano","2015-02-10 08:50:35"
"LSTM implementation with peephole","2016-02-06 09:34:57"
"Using a GPU both as video card and GPGPU","2016-02-10 16:16:26"
"Import keras.datasets not working","2016-02-16 11:33:10"
"Activation function after pooling layer or convolutional layer?","2016-02-21 23:20:54"
"How to calculate GPU memory usage in Theano?","2016-01-11 02:22:55"
"What is the correct way to change image channel ordering between channels first and channels last?","2017-05-07 09:05:20"
"The update order of theano function's update list","2015-01-29 01:32:58"
"GPU is lost during execution of either Tensorflow or Theano code","2017-08-26 04:29:45"
"Python theano.scan taps argument","2015-05-01 19:22:11"
"import theano gets Illegal instruction","2015-03-30 03:35:06"
"Implementing sparse connections in neural network (Theano)","2016-04-05 22:11:07"
"Error importing Theano","2014-01-24 21:36:38"
"Keras, how do I predict after I trained a model?","2016-06-18 00:00:07"
"Keras IndexError: indices are out-of-bounds","2016-03-13 10:10:21"
"ImportError: No module named downsample","2016-09-14 23:34:17"
"How to run several Keras neural networks in parallel","2016-07-22 12:42:43"
"input dimensions to a one dimensional convolutional network in keras","2016-07-29 10:30:23"
"Is there a GPU accelerated numpy.max(X, axis=0) implementation in Theano?","2014-05-21 15:53:16"
"Python: rewrite a looping numpy math function to run on GPU","2017-01-31 12:26:24"
"Is there a common format for neural networks","2015-11-20 14:19:18"
"Combining scalars and vectors in Theano for computing Hessian","2015-12-13 18:41:07"
"Theano: Get matrix dimension and value of matrix (SharedVariable)","2014-03-22 15:00:41"
"Package installed by Conda, Python cannot find it","2016-10-01 22:10:59"
"How Can I use my GPU on Ipython Notebook?","2015-12-17 06:59:02"
"Keras load weights of a neural network / error when predicting","2015-11-02 09:28:45"
"Can I (selectively) invert Theano gradients during backpropagation?","2015-11-23 20:08:34"
"Theano uses gpu from the command line, but not from PyCharm","2017-05-16 20:36:14"
"Customize Keras' loss function in a way that the y_true will depend on y_pred","2016-07-31 14:05:04"
"How can you load all batch data into GPU memory in Keras (Theano backend)?","2016-08-14 16:23:44"
"How to find wrong prediction cases in test set (CNNs using Keras)","2016-09-02 21:22:13"
"Use of None in Array indexing in Python","2015-07-18 15:30:57"
"Nolearn/Lasagne neural network not starting training","2015-09-14 12:42:13"
"Theano config directly in script","2015-11-29 21:25:01"
"How to install Theano on Anaconda Python 2.7 x64 on Windows?","2015-11-13 06:31:19"
"Python - Theano scan() function","2014-11-03 16:43:48"
"Compilation error ld: library not found for -lgcc_ext in MacOSX","2014-06-27 18:57:28"
"Theano fails due to NumPy Fortran mixup under Ubuntu","2012-08-16 12:39:30"
"3d sliding window operation in Theano?","2016-02-29 04:23:31"
"Theano: Initialisation of device gpu failed! Reason=CNMEM_STATUS_OUT_OF_MEMORY","2016-03-19 09:11:52"
"WARNING (theano.sandbox.cuda): CUDA is installed, but device gpu is not available (error: cuda unavailable)","2016-08-17 10:37:50"
"does nolearn/lasagne support python 3","2015-05-04 15:58:06"
"Install Cuda without root","2016-09-07 22:13:17"
"Select GPU during execution in Theano","2015-08-13 09:00:17"
"TensorFlow or Theano: how do they know the loss function derivative based on the neural network graph?","2016-02-11 15:11:37"
"How is Hard Sigmoid defined","2016-02-15 13:54:11"
"Keras: How to feed input directly into other hidden layers of the neural net than the first?","2016-02-21 07:18:16"
"Failed to compile cuda_ndarray.cu: libcublas.so.7.5: cannot open shared object file","2016-02-25 06:30:24"
"pdist for theano tensor","2014-09-17 09:04:13"
"Keras - issue with implementing the Rprop algorithm","2017-05-03 19:26:01"
"Getting Theano to use the GPU","2013-08-10 18:32:54"
"ImportError: No module named theano","2016-01-19 13:24:51"
"Keras - Text Classification - LSTM - How to input text?","2016-04-18 17:40:36"
"Keras 1.0: getting intermediate layer output","2016-04-20 13:45:15"
"Saliency maps of neural networks (using Keras)","2016-05-01 15:05:42"
"What do Keras convolution layers do with color channels?","2016-05-08 14:18:43"
"How to swich theano.tensor to numpy.array?","2014-05-14 00:41:46"
"How to export ConvNet trained using Python's Theano/Lasagne to iOS?","2016-05-03 13:30:51"
"Deconvolution2D layer in keras","2016-08-18 12:52:00"
"TypeError ""Bad input argument to theano function""","2015-08-06 07:46:44"
"Unsupervised pre-training for convolutional neural network in theano","2014-07-15 07:47:24"
"NaN loss when training regression network","2016-05-14 23:04:30"
"How to change the temperature of a softmax output in Keras","2016-05-16 02:50:12"
"Theano stack matrices programmatically?","2015-09-08 11:57:37"
"Add AUC as loss function for keras","2015-09-11 08:46:43"
"Getting gradient of model output w.r.t weights using Keras","2016-09-18 19:07:23"
"How to update weights in keras for reinforcement learning?","2016-10-10 04:54:36"
"Python/Keras/Theano wrong dimensions for Deep Autoencoder","2016-06-10 23:35:23"
"dimshuffle equivalent function in Numpy","2015-10-30 12:49:53"
"Very High Errors in Deep Belief Network with Nolearn in Python","2015-11-23 01:12:12"
"installing theano ""blas error""","2015-11-03 12:12:16"
"Visualize output of each layer in theano Convolutional MLP","2016-01-29 20:36:14"
"Keras: reshape to connect lstm and conv","2016-10-24 14:12:55"
"Indexing in Theano","2014-06-12 11:22:30"
"Deep-Learning Nan loss reasons","2016-10-14 19:07:18"
"WARNING (theano.configdefaults): g++ not detected ! Theano will be unable to execute optimized C-implementations","2016-11-11 06:18:17"
"RuntimeError: module compiled against API version a but this version of numpy is 9 in ubuntu","2015-12-01 23:24:47"
"How to switch Backend with Keras (from TensorFlow to Theano)","2017-02-11 15:32:24"
"Neural Networks: Understanding theano Library","2015-12-03 09:52:28"
"theano hard_sigmoid() breaks gradient descent","2016-02-04 01:25:05"
